index,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
0,t_1488432_b_30487_tn_0,07:06:00,07:06:00,782368,1,,0,0,0.0,0,,,,,1,1,,,,,,,,,,,
1,t_1488432_b_30487_tn_0,,,782385,2,,0,0,479.63411693612295,0,,,,,1,1,,,,,,,,,,,
2,t_1488432_b_30487_tn_0,,,2751352,3,,0,0,1004.2105658119832,0,,,,,1,1,,,,,,,,,,,
3,t_1488432_b_30487_tn_0,,,4230348,4,,0,0,1701.4614701663209,0,,,,,1,1,,,,,,,,,,,
4,t_1488432_b_30487_tn_0,,,2751353,5,,0,0,1962.9202785582536,0,,,,,1,1,,,,,,,,,,,
5,t_1488432_b_30487_tn_0,,,782435,6,,0,0,2536.6125023693044,0,,,,,1,1,,,,,,,,,,,
6,t_1488432_b_30487_tn_0,07:14:00,07:14:00,782434,7,,0,0,2802.24099481283,0,,,,,1,1,,,,,,,,,,,
7,t_1488432_b_30487_tn_0,,,782431,8,,0,0,3186.582714027203,0,,,,,1,1,,,,,,,,,,,
8,t_1488432_b_30487_tn_0,,,782432,9,,0,0,3549.63784258958,0,,,,,1,1,,,,,,,,,,,
9,t_1488432_b_30487_tn_0,,,782433,10,,0,0,3815.7565120445815,0,,,,,1,1,,,,,,,,,,,
10,t_1488432_b_30487_tn_0,,,782369,11,,0,0,4195.082422582786,0,,,,,1,1,,,,,,,,,,,
11,t_1488432_b_30487_tn_0,,,782429,12,,0,0,4694.879322973249,0,,,,,1,1,,,,,,,,,,,
12,t_1488432_b_30487_tn_0,,,782424,13,,0,0,5421.904399014002,0,,,,,1,1,,,,,,,,,,,
13,t_1488432_b_30487_tn_0,07:22:00,07:31:00,782405,14,,0,0,6521.436409829991,0,,,,,1,1,,,,,,,,,,,
14,t_1488432_b_30487_tn_0,,,2751401,15,,0,0,7251.160058519826,0,,,,,1,1,,,,,,,,,,,
15,t_1488432_b_30487_tn_0,,,2751402,16,,0,0,9036.417606630375,0,,,,,1,1,,,,,,,,,,,
16,t_1488432_b_30487_tn_0,07:36:00,07:36:00,782387,17,,0,0,9264.37581309,0,,,,,1,1,,,,,,,,,,,
17,t_1488433_b_30487_tn_0,08:06:00,08:06:00,782368,1,,0,0,0.0,0,,,,,1,1,,,,,,,,,,,
18,t_1488433_b_30487_tn_0,,,782385,2,,0,0,479.63411693612295,0,,,,,1,1,,,,,,,,,,,
19,t_1488433_b_30487_tn_0,,,2751352,3,,0,0,1004.2105658119832,0,,,,,1,1,,,,,,,,,,,
20,t_1488433_b_30487_tn_0,,,4230348,4,,0,0,1701.4614701663209,0,,,,,1,1,,,,,,,,,,,
21,t_1488433_b_30487_tn_0,,,2751353,5,,0,0,1962.9202785582536,0,,,,,1,1,,,,,,,,,,,
22,t_1488433_b_30487_tn_0,,,782435,6,,0,0,2536.6125023693044,0,,,,,1,1,,,,,,,,,,,
23,t_1488433_b_30487_tn_0,08:14:00,08:14:00,782434,7,,0,0,2802.24099481283,0,,,,,1,1,,,,,,,,,,,
24,t_1488433_b_30487_tn_0,,,782431,8,,0,0,3186.582714027203,0,,,,,1,1,,,,,,,,,,,
25,t_1488433_b_30487_tn_0,,,782432,9,,0,0,3549.63784258958,0,,,,,1,1,,,,,,,,,,,
26,t_1488433_b_30487_tn_0,,,782433,10,,0,0,3815.7565120445815,0,,,,,1,1,,,,,,,,,,,
27,t_1488433_b_30487_tn_0,,,782369,11,,0,0,4195.082422582786,0,,,,,1,1,,,,,,,,,,,
28,t_1488433_b_30487_tn_0,,,782429,12,,0,0,4694.879322973249,0,,,,,1,1,,,,,,,,,,,
